id,topic
880788721141985283,https://www.snopes.com/fact-check/keep-your-fork/
880787473642737665,https://www.snopes.com/fact-check/hoa-lawn-flag/
880787151440498688,https://www.snopes.com/fact-check/binders-full-of-womens-condoms/
880786431911763969,https://www.snopes.com/fact-check/keep-your-fork/
880782278393286656,https://www.snopes.com/fact-check/pelosi-healthcare-pass-the-bill-to-see-what-is-in-it/
880782039540273152,https://www.snopes.com/fact-check/pastor-present-2/
880779466628190209,https://www.snopes.com/fact-check/bringing-a-gun-to-a-knife-fight/
880779124490592256,https://www.snopes.com/fact-check/trump-fake-time-covers/
880778890184196096,https://www.snopes.com/fact-check/did-mad-magazine-publish-a-trump-cartoon-in-1992/
880777642588426241,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880777333233373189,https://www.snopes.com/fact-check/kfc-dearborn-shariah-law/
880774619833278464,https://www.snopes.com/fact-check/trump-fake-time-covers/
880772150214393856,https://www.snopes.com/fact-check/hoa-lawn-flag/
880766659786616832,https://www.snopes.com/fact-check/hoa-lawn-flag/
880762979712716801,https://www.snopes.com/fact-check/hoa-lawn-flag/
880762950834941952,https://www.snopes.com/fact-check/wolf-pack-photo/
880761933808513028,https://www.snopes.com/fact-check/hometown-buffett/
880761506509541380,https://www.snopes.com/fact-check/house-of-the-writhing-son/
880760905537122305,https://www.snopes.com/fact-check/hoa-lawn-flag/
880760151195701248,https://www.snopes.com/fact-check/kfc-dearborn-shariah-law/
880754261264617476,https://www.snopes.com/fact-check/trump-flies-sick-boy/
880752127827521536,https://www.snopes.com/fact-check/kfc-dearborn-shariah-law/
880751410463289345,https://www.snopes.com/fact-check/promotional-booklet/
880748447640551425,https://www.snopes.com/fact-check/mitch-mcconnell-polio-government-healthcare/
880747727415529473,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880747274749587456,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880746684296417280,https://www.snopes.com/fact-check/scientists-find-australian-berry-can-cure-cancer-48-hours/
880743612002312192,https://www.snopes.com/fact-check/obama-deported-more-people/
880742830334853120,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880741362177650688,https://www.snopes.com/fact-check/steve-jobs-father/
880740106554007552,https://www.snopes.com/fact-check/hillary-clinton-stupid-quote/
